Timestamp,Alert_ID,Severity,Attack_Type,Anomaly_Score,RF_Probability,RF_Prediction,Source_IP,Dest_IP,Dest_Port,Flow_Index
2026-04-12 17:07:07,ALERT-00001,CRITICAL,Port Scan,0.3681,1.0,Attack,104.111.110.218,10.0.177.51,21,2
2026-04-12 17:11:59,ALERT-02139,CRITICAL,Suspicious Activity,0.481,1.0,Attack,24.126.11.102,192.168.2.230.244,8443,5527
2026-04-12 17:06:39,ALERT-02144,CRITICAL,Suspicious Activity,0.3731,1.0,Attack,172.16.38.11,172.16.186.40,8080,5534
2026-04-12 16:43:15,ALERT-02147,CRITICAL,Port Scan,0.8026,1.0,Attack,203.143.207.56,10.0.186.110,8080,5543
2026-04-12 16:56:45,ALERT-02149,CRITICAL,Suspicious Activity,0.4381,0.9978,Attack,172.16.83.165,172.16.49.118,443,5548
2026-04-12 17:16:13,ALERT-02150,CRITICAL,Suspicious Activity,0.4145,1.0,Attack,172.16.199.64,10.10.36.177,3389,5551
2026-04-12 17:24:43,ALERT-02151,CRITICAL,Port Scan,0.5431,1.0,Attack,10.0.194.86,172.16.115.193,3389,5554
2026-04-12 16:44:27,ALERT-02152,CRITICAL,Port Scan,0.6933,1.0,Attack,35.133.173.231,192.168.2.70.182,443,5556
2026-04-12 17:31:47,ALERT-02153,CRITICAL,Port Scan,0.6663,1.0,Attack,218.200.252.145,192.168.1.42.76,22,5557
2026-04-12 17:32:21,ALERT-02155,CRITICAL,Unknown / Novel Attack,0.7781,1.0,Attack,10.0.20.15,192.168.2.47.141,21,5561
2026-04-12 16:57:01,ALERT-02157,CRITICAL,Unknown / Novel Attack,0.7759,1.0,Attack,192.168.1.137.165,192.168.2.31.204,21,5567
2026-04-12 16:43:27,ALERT-02158,CRITICAL,Port Scan,0.6564,1.0,Attack,108.237.40.66,10.0.180.225,445,5569
2026-04-12 17:07:55,ALERT-02159,CRITICAL,Port Scan,0.4041,1.0,Attack,172.16.183.38,192.168.2.64.131,3389,5570
2026-04-12 16:54:48,ALERT-02160,CRITICAL,Port Scan,0.3427,1.0,Attack,172.16.61.75,192.168.1.224.215,23,5571
2026-04-12 17:01:28,ALERT-02165,CRITICAL,Port Scan,0.4957,1.0,Attack,35.156.73.173,192.168.2.13.186,8080,5580
2026-04-12 16:56:00,ALERT-02166,CRITICAL,Suspicious Activity,0.3663,1.0,Attack,10.0.207.79,192.168.1.80.101,3389,5581
2026-04-12 16:44:42,ALERT-02167,CRITICAL,Suspicious Activity,0.6681,1.0,Attack,10.0.21.65,10.0.97.7,3389,5582
2026-04-12 17:27:46,ALERT-02169,CRITICAL,Port Scan,0.6123,1.0,Attack,15.179.71.196,172.16.20.242,8443,5586
2026-04-12 17:14:12,ALERT-02137,CRITICAL,Port Scan,0.7071,1.0,Attack,10.10.2.4,10.0.176.207,23,5522
2026-04-12 16:37:13,ALERT-02170,CRITICAL,Port Scan,0.5991,1.0,Attack,10.0.187.226,10.0.174.7,3389,5587
2026-04-12 16:49:10,ALERT-02135,CRITICAL,Port Scan,0.5074,1.0,Attack,199.123.66.250,192.168.2.146.3,22,5516
2026-04-12 17:19:36,ALERT-02133,CRITICAL,Suspicious Activity,0.6925,1.0,Attack,67.132.216.251,192.168.1.177.222,8443,5513
2026-04-12 17:12:17,ALERT-02096,CRITICAL,Port Scan,0.5944,1.0,Attack,16.184.219.139,10.0.225.169,8443,5428
2026-04-12 16:52:45,ALERT-02098,CRITICAL,Port Scan,0.6923,1.0,Attack,10.10.187.132,192.168.1.28.190,80,5432
2026-04-12 17:15:39,ALERT-02099,CRITICAL,Port Scan,0.9148,1.0,Attack,104.107.42.241,10.10.11.113,8443,5435
2026-04-12 17:05:03,ALERT-02100,CRITICAL,Port Scan,0.7004,1.0,Attack,14.140.81.172,192.168.2.20.41,8443,5436
2026-04-12 17:16:30,ALERT-02104,CRITICAL,Port Scan,0.7093,1.0,Attack,10.10.182.23,10.0.184.36,80,5446
2026-04-12 16:43:53,ALERT-02105,CRITICAL,Port Scan,0.4398,1.0,Attack,192.168.1.13.59,10.0.130.175,445,5447
2026-04-12 16:46:31,ALERT-02107,CRITICAL,Port Scan,0.4587,1.0,Attack,17.223.135.47,10.10.68.194,22,5452
2026-04-12 17:12:40,ALERT-02111,CRITICAL,Port Scan,0.5888,1.0,Attack,108.215.152.50,10.10.213.5,443,5456
2026-04-12 17:07:38,ALERT-02112,CRITICAL,Suspicious Activity,0.3501,1.0,Attack,66.16.81.101,10.10.238.92,443,5457
2026-04-12 16:45:28,ALERT-02114,CRITICAL,Suspicious Activity,0.4806,0.99,Attack,74.39.155.14,10.0.65.45,443,5460
2026-04-12 16:40:18,ALERT-02117,CRITICAL,Suspicious Activity,0.4426,1.0,Attack,10.10.156.208,192.168.1.185.80,80,5474
2026-04-12 17:08:09,ALERT-02121,CRITICAL,Unknown / Novel Attack,0.8231,1.0,Attack,192.168.1.80.252,172.16.14.247,8080,5483
2026-04-12 16:38:33,ALERT-02125,CRITICAL,Port Scan,0.3957,1.0,Attack,52.83.61.198,10.0.173.120,8080,5489
2026-04-12 17:26:58,ALERT-02127,CRITICAL,Suspicious Activity,0.7204,1.0,Attack,54.138.14.73,192.168.1.16.91,22,5498
2026-04-12 17:06:49,ALERT-02129,CRITICAL,Port Scan,0.6834,1.0,Attack,13.51.88.16,192.168.2.90.198,22,5501
